,Date,北京,天津,上海,重庆,内蒙古,新疆,西藏,宁夏,广西,香港,澳门,黑龙江,吉林,辽宁,河北,山西,青海,山东,河南,江苏,安徽,浙江,福建,江西,湖南,湖北,广东,台湾,海南,甘肃,陕西,四川,贵州,云南,Total
40,2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
41,2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
42,2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
43,2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
44,2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7
45,2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12
46,2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15
47,2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,19
48,2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24
49,2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25
50,2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25
51,2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,28
52,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,28
53,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,2,0,0,0,0,0,0,0,34
54,2020-01-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,32,2,0,0,0,0,0,0,0,37
55,2020-01-25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,42,2,0,0,0,0,0,0,0,47
56,2020-01-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,44,2,0,0,0,0,0,0,0,49
57,2020-01-27,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,47,4,0,0,0,0,0,0,0,58
58,2020-01-28,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,80,5,0,0,0,0,0,1,0,104
59,2020-01-29,4,0,5,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,2,1,2,4,0,3,0,90,6,0,1,0,0,1,1,0,126
60,2020-01-30,5,0,5,1,0,0,0,0,2,0,0,0,1,1,0,1,0,2,3,2,3,9,0,7,2,116,9,0,1,0,0,1,1,0,172
61,2020-01-31,5,0,9,1,1,0,0,0,2,0,0,0,1,1,0,1,0,2,3,5,3,15,0,9,3,166,0,0,1,0,0,3,2,1,234
62,2020-02-01,9,0,10,3,1,0,0,0,2,0,0,0,1,1,3,1,0,5,4,6,5,23,0,10,8,215,12,0,1,0,0,3,2,2,327
63,2020-02-02,12,1,10,7,1,0,0,0,2,0,0,2,1,1,3,2,0,6,14,7,7,36,0,18,16,295,14,0,4,3,0,12,2,3,479
64,2020-02-03,23,1,10,9,1,0,0,0,7,0,0,2,1,1,3,2,0,7,20,8,14,48,1,19,22,396,20,0,4,3,1,14,2,5,644
65,2020-02-04,24,2,12,14,1,0,0,0,10,0,0,4,1,2,4,4,0,13,41,13,20,63,7,27,35,520,32,0,4,4,2,23,5,5,892
66,2020-02-05,31,2,15,15,4,0,0,1,14,0,0,7,2,4,7,6,3,18,54,26,23,81,11,37,56,633,49,0,5,6,6,27,6,5,1154
67,2020-02-06,33,2,25,24,0,0,0,1,17,0,0,8,4,6,16,12,3,31,68,38,34,98,15,45,91,817,68,0,8,9,11,37,6,7,1534
68,2020-02-07,34,2,30,31,5,0,0,5,17,0,1,12,4,7,25,15,3,38,97,43,47,127,20,55,119,1115,97,1,11,9,9,50,6,12,2047
69,2020-02-08,37,4,41,39,5,0,0,13,18,0,1,13,5,12,30,21,3,50,131,51,59,173,24,72,159,1439,125,1,15,12,17,60,7,17,2654
70,2020-02-09,44,4,44,51,5,0,0,13,18,0,1,15,12,12,35,25,3,63,169,72,73,200,35,102,186,1795,143,1,19,16,20,76,7,18,3277
71,2020-02-10,48,8,48,66,5,0,0,14,30,0,1,27,13,17,41,26,3,71,198,84,88,250,39,127,213,2222,181,1,19,21,26,82,10,19,3998
72,2020-02-11,56,10,53,79,5,3,0,22,31,0,1,28,18,19,48,30,5,80,231,94,108,279,46,152,263,2639,241,1,20,24,31,85,17,20,4739
73,2020-02-12,68,11,57,102,6,3,1,24,33,1,2,31,22,22,54,33,9,98,258,131,128,327,54,170,312,3172,284,1,27,31,36,93,20,23,5644
74,2020-02-13,79,21,62,128,6,6,1,24,35,1,3,37,25,22,69,36,11,111,313,137,166,367,59,187,352,3862,332,1,30,39,44,105,28,27,6726
75,2020-02-14,97,32,90,152,6,6,1,27,40,1,3,48,25,29,86,38,11,139,356,160,198,409,66,210,389,4774,386,1,38,44,49,115,33,35,8094
76,2020-02-15,105,37,124,184,7,11,1,33,46,1,3,70,28,32,100,46,13,164,397,190,232,437,77,239,430,5623,436,2,39,49,53,127,37,42,9415
77,2020-02-16,114,45,140,207,8,12,1,33,51,2,5,80,30,41,109,50,13,175,438,226,266,470,84,275,467,6639,473,2,52,54,64,136,47,42,10851
78,2020-02-17,122,46,161,225,8,12,1,35,58,2,5,85,34,43,123,53,13,193,505,263,293,514,91,310,501,7862,530,2,59,58,79,163,66,47,12562
79,2020-02-18,145,48,177,254,9,14,1,42,76,4,5,108,36,55,136,61,15,215,552,296,361,544,96,362,542,9128,571,2,79,62,89,177,69,57,14388
