,Date,北京,天津,上海,重庆,内蒙古,新疆,西藏,宁夏,广西,香港,澳门,黑龙江,吉林,辽宁,河北,山西,青海,山东,河南,江苏,安徽,浙江,福建,江西,湖南,湖北,广东,台湾,海南,甘肃,陕西,四川,贵州,云南,Total
40,2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41,2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
42,2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43,2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
44,2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
45,2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
46,2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
47,2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
48,2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
49,2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
50,2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
51,2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9
52,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17
53,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,26
54,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,41
55,2020-01-25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,56
56,2020-01-26,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,76,0,0,1,0,0,0,0,0,81
57,2020-01-27,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,100,0,0,1,0,0,0,0,0,106
58,2020-01-28,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,125,0,0,1,0,0,0,0,0,132
59,2020-01-29,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,162,0,0,1,0,0,1,0,0,170
60,2020-01-30,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,204,0,0,1,0,0,1,0,0,213
61,2020-01-31,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,249,0,0,1,0,0,1,0,0,259
62,2020-02-01,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,294,0,0,1,0,0,1,0,0,304
63,2020-02-02,1,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,350,0,0,1,0,0,1,0,0,361
64,2020-02-03,1,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,414,0,0,1,0,0,1,0,0,425
65,2020-02-04,1,0,1,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,479,0,0,1,0,0,1,0,0,491
66,2020-02-05,1,1,1,2,0,0,0,0,0,1,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,549,0,0,1,0,0,1,0,0,563
67,2020-02-06,1,0,1,2,0,0,0,0,0,1,1,3,1,0,1,0,0,0,3,0,0,0,0,0,0,618,0,1,2,0,0,1,0,0,636
68,2020-02-07,2,1,1,2,0,0,0,0,0,1,0,5,1,0,1,0,0,0,4,0,0,0,0,0,0,699,1,0,2,1,0,1,1,0,723
69,2020-02-08,2,1,1,2,0,0,0,0,1,1,0,6,1,0,2,0,0,1,6,0,1,0,0,0,1,780,1,0,2,1,0,1,1,0,812
70,2020-02-09,2,1,1,2,0,0,0,0,1,1,0,7,1,0,2,0,0,1,6,0,3,0,0,1,1,871,1,0,3,2,0,1,1,0,909
71,2020-02-10,3,2,1,2,0,0,0,0,1,1,0,8,1,0,2,0,0,1,7,0,4,0,0,1,1,974,1,0,3,2,0,1,1,0,1017
72,2020-02-11,3,2,1,3,0,0,0,0,1,1,0,8,1,0,2,0,0,1,8,0,4,0,0,1,2,1068,1,0,3,2,0,1,1,0,1114
73,2020-02-12,3,2,1,3,0,1,0,0,2,1,0,9,1,0,3,0,0,2,10,0,5,0,0,1,2,1202,2,0,4,2,0,1,1,0,1258
74,2020-02-13,3,3,1,4,0,1,0,0,2,1,0,11,1,1,3,0,0,2,11,0,6,0,0,1,2,1318,2,0,4,2,0,1,1,0,1381
75,2020-02-14,4,3,1,5,0,1,0,0,2,1,0,11,1,1,3,0,0,2,13,0,6,0,0,1,2,1457,2,0,4,2,0,1,1,0,1524
76,2020-02-15,4,3,1,5,0,1,0,0,2,1,0,11,1,1,3,0,0,2,13,0,6,0,0,1,3,1596,2,0,4,2,0,3,1,0,1666
77,2020-02-16,4,3,1,5,0,1,0,0,2,1,0,11,1,1,3,0,0,2,16,0,6,0,0,1,3,1696,4,1,4,2,0,3,1,0,1772
78,2020-02-17,4,3,1,5,0,1,0,0,2,1,0,11,1,1,4,0,0,2,19,0,6,0,0,1,4,1789,4,1,4,2,0,3,1,0,1870
79,2020-02-18,4,3,1,5,0,1,0,0,2,1,0,12,1,1,4,0,0,3,19,0,6,0,0,1,4,1921,5,1,4,2,0,3,2,0,2006
80,2020-02-19,4,3,2,5,0,1,0,0,2,2,0,12,1,1,5,0,0,4,19,0,6,0,1,1,4,2029,5,1,4,2,0,3,2,1,2120
81,2020-02-20,4,3,2,6,0,1,0,0,2,2,0,12,1,1,5,0,0,4,19,0,6,1,1,1,4,2144,5,1,4,2,1,3,2,2,2239
82,2020-02-21,4,3,3,6,0,2,0,0,2,2,0,12,1,1,6,0,0,4,19,0,6,1,1,1,4,2250,5,1,4,2,1,3,2,2,2348
83,2020-02-22,4,3,3,6,0,2,0,0,2,2,0,12,1,1,6,0,0,4,19,0,6,1,1,1,4,2346,6,1,4,2,1,3,2,2,2445
84,2020-02-23,4,3,3,6,0,2,0,0,2,2,0,12,1,1,6,0,0,4,19,0,6,1,1,1,4,2495,6,1,5,2,1,3,2,2,2595
85,2020-02-24,4,3,3,6,0,2,0,0,2,2,0,12,1,1,6,0,0,6,19,0,6,1,1,1,4,2563,7,1,5,2,1,3,2,2,2666
86,2020-02-25,4,3,3,6,0,2,0,0,2,2,0,12,1,1,6,0,0,6,19,0,6,1,1,1,4,2615,7,1,5,2,1,3,2,2,2718
87,2020-02-26,5,3,3,6,0,2,0,0,2,2,0,13,1,1,6,0,0,6,20,0,6,1,1,1,4,2641,7,1,5,2,1,3,2,2,2747
88,2020-02-27,7,3,3,6,0,3,0,0,2,2,0,13,1,1,6,0,0,6,20,0,6,1,1,1,4,2682,7,1,5,2,1,3,2,2,2791
89,2020-02-28,8,3,3,6,0,3,0,0,2,2,0,13,1,1,6,0,0,6,21,0,6,1,1,1,4,2727,7,1,5,2,1,3,2,2,2838
90,2020-02-29,8,3,3,6,0,3,0,0,2,2,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,2761,7,1,5,2,1,3,2,2,2873
91,2020-03-01,8,3,3,6,0,3,0,0,2,2,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,2803,7,1,5,2,1,3,2,2,2915
92,2020-03-02,8,3,3,6,0,3,0,0,2,2,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,2834,7,1,5,2,1,3,2,2,2946
93,2020-03-03,8,3,3,6,1,3,0,0,2,2,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,2871,7,1,5,2,1,3,2,2,2984
94,2020-03-04,8,3,3,6,1,3,0,0,2,2,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,2902,7,1,5,2,1,3,2,2,3015
95,2020-03-05,8,3,3,6,1,3,0,0,2,2,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,2931,7,1,6,2,1,3,2,2,3045
96,2020-03-06,8,3,3,6,1,3,0,0,2,2,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,2959,7,1,6,2,1,3,2,2,3073
97,2020-03-07,8,3,3,6,1,3,0,0,2,2,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,2986,7,1,6,2,1,3,2,2,3100
98,2020-03-08,8,3,3,6,1,3,0,0,2,3,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,3007,8,1,6,2,1,3,2,2,3123
99,2020-03-09,8,3,3,6,1,3,0,0,2,3,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,3024,8,1,6,2,1,3,2,2,3140
100,2020-03-10,8,3,3,6,1,3,0,0,2,3,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,3046,8,1,6,2,1,3,2,2,3162
101,2020-03-11,8,3,3,6,1,3,0,0,2,3,0,13,1,1,6,0,0,6,22,0,6,1,1,1,4,3056,8,1,6,2,2,3,2,2,3173
102,2020-03-12,8,3,3,6,1,3,0,0,2,3,0,13,1,1,6,0,0,7,22,0,6,1,1,1,4,3062,8,1,6,2,2,3,2,2,3180
103,2020-03-13,8,3,3,6,1,3,0,0,2,4,0,13,1,1,6,0,0,7,22,0,6,1,1,1,4,3075,8,1,6,2,2,3,2,2,3194
104,2020-03-14,8,3,3,6,1,3,0,0,2,4,0,13,1,1,6,0,0,7,22,0,6,1,1,1,4,3085,8,1,6,2,2,3,2,2,3204
105,2020-03-15,8,3,3,6,1,3,0,0,2,4,0,13,1,1,6,0,0,7,22,0,6,1,1,1,4,3099,8,1,6,2,2,3,2,2,3218
106,2020-03-16,8,3,3,6,1,3,0,0,2,4,0,13,1,1,6,0,0,7,22,0,6,1,1,1,4,3111,8,1,6,2,3,3,2,2,3231
107,2020-03-17,8,3,3,6,1,3,0,0,2,4,0,13,1,1,6,0,0,7,22,0,6,1,1,1,4,3122,8,1,6,2,3,3,2,2,3242
108,2020-03-18,8,3,3,6,1,3,0,0,2,4,0,13,1,1,6,0,0,7,22,0,6,1,1,1,4,3130,8,1,6,2,3,3,2,2,3250
109,2020-03-19,8,3,3,6,1,3,0,0,2,4,0,13,1,2,6,0,0,7,22,0,6,1,1,1,4,3132,8,1,6,2,3,3,2,2,3253
110,2020-03-20,8,3,3,6,1,3,0,0,2,4,0,13,1,2,6,0,0,7,22,0,6,1,1,1,4,3139,8,2,6,2,3,3,2,2,3261
111,2020-03-21,8,3,4,6,1,3,0,0,2,4,0,13,1,2,6,0,0,7,22,0,6,1,1,1,4,3144,8,2,6,2,3,3,2,2,3267
112,2020-03-22,8,3,4,6,1,3,0,0,2,4,0,13,1,2,6,0,0,7,22,0,6,1,1,1,4,3153,8,2,6,2,3,3,2,2,3276
113,2020-03-23,8,3,4,6,1,3,0,0,2,4,0,13,1,2,6,0,0,7,22,0,6,1,1,1,4,3160,8,2,6,2,3,3,2,2,3283
114,2020-03-24,8,3,5,6,1,3,0,0,2,4,0,13,1,2,6,0,0,7,22,0,6,1,1,1,4,3163,8,2,6,2,3,3,2,2,3287
