,date,province,confirmed,cured,dead,nowc
0,2019-12-01,湖北省,1,0,0,1
1,2019-12-02,湖北省,1,0,0,1
2,2019-12-03,湖北省,1,0,0,1
3,2019-12-04,湖北省,1,0,0,1
4,2019-12-05,湖北省,1,0,0,1
5,2019-12-06,湖北省,1,0,0,1
6,2019-12-07,湖北省,1,0,0,1
7,2019-12-08,湖北省,1,0,0,1
8,2019-12-09,湖北省,1,0,0,1
9,2019-12-10,湖北省,1,0,0,1
10,2019-12-11,湖北省,4,0,0,4
11,2019-12-12,湖北省,4,0,0,4
12,2019-12-13,湖北省,4,0,0,4
13,2019-12-14,湖北省,4,0,0,4
14,2019-12-15,湖北省,6,0,0,6
15,2019-12-16,湖北省,6,0,0,6
16,2019-12-17,湖北省,7,0,0,7
17,2019-12-18,湖北省,8,0,0,8
18,2019-12-19,湖北省,9,0,0,9
19,2019-12-20,湖北省,14,0,0,14
20,2019-12-21,湖北省,18,0,0,18
21,2019-12-22,湖北省,21,0,0,21
22,2019-12-23,湖北省,29,0,0,29
23,2019-12-24,湖北省,30,0,0,30
24,2019-12-25,湖北省,33,0,0,33
25,2019-12-26,湖北省,35,0,0,35
26,2019-12-27,湖北省,37,0,0,37
27,2019-12-28,湖北省,37,0,0,37
28,2019-12-29,湖北省,37,0,0,37
29,2019-12-30,湖北省,37,0,0,37
30,2019-12-31,湖北省,40,0,0,40
31,2020-01-01,湖北省,43,0,0,43
32,2020-01-02,湖北省,44,0,0,44
33,2020-01-03,湖北省,41,0,0,41
34,2020-01-04,湖北省,41,0,0,41
35,2020-01-05,湖北省,41,0,0,41
36,2020-01-06,湖北省,41,0,0,41
37,2020-01-07,湖北省,41,0,0,41
38,2020-01-08,湖北省,41,0,0,41
39,2020-01-09,湖北省,41,0,0,41
40,2020-01-10,湖北省,41,2,1,38
41,2020-01-11,湖北省,41,6,1,34
42,2020-01-12,湖北省,41,7,1,33
43,2020-01-13,湖北省,41,7,1,33
44,2020-01-14,湖北省,41,7,1,33
45,2020-01-15,湖北省,41,12,2,27
46,2020-01-16,湖北省,45,15,2,28
47,2020-01-17,湖北省,62,19,2,41
48,2020-01-18,湖北省,121,24,3,94
49,2020-01-19,湖北省,198,25,3,170
50,2020-01-19,广东省,1,0,0,1
51,2020-01-20,北京市,5,0,0,5
52,2020-01-20,吉林省,0,0,0,0
53,2020-01-20,上海市,1,0,0,1
54,2020-01-20,浙江省,0,0,0,0
55,2020-01-20,安徽省,0,0,0,0
56,2020-01-20,江西省,0,0,0,0
57,2020-01-20,山东省,0,0,0,0
58,2020-01-20,湖北省,270,25,6,239
59,2020-01-20,广东省,14,0,0,14
60,2020-01-20,广西壮族自治区,0,0,0,0
61,2020-01-20,海南省,0,0,0,0
62,2020-01-20,四川省,0,0,0,0
63,2020-01-20,贵州省,0,0,0,0
64,2020-01-20,云南省,0,0,0,0
65,2020-01-20,宁夏回族自治区,0,0,0,0
66,2020-01-21,北京市,10,0,0,10
67,2020-01-21,天津市,2,0,0,2
68,2020-01-21,山西省,0,0,0,0
69,2020-01-21,吉林省,0,0,0,0
70,2020-01-21,黑龙江省,0,0,0,0
71,2020-01-21,上海市,6,0,0,6
72,2020-01-21,浙江省,5,0,0,5
73,2020-01-21,安徽省,0,0,0,0
74,2020-01-21,江西省,2,0,0,2
75,2020-01-21,山东省,1,0,0,1
76,2020-01-21,河南省,1,0,0,1
77,2020-01-21,湖北省,375,28,9,338
78,2020-01-21,湖南省,1,0,0,1
79,2020-01-21,广东省,26,0,0,26
80,2020-01-21,广西壮族自治区,0,0,0,0
81,2020-01-21,海南省,0,0,0,0
82,2020-01-21,重庆市,5,0,0,5
83,2020-01-21,四川省,2,0,0,2
84,2020-01-21,贵州省,0,0,0,0
85,2020-01-21,云南省,1,0,0,1
86,2020-01-21,宁夏回族自治区,0,0,0,0
87,2020-01-22,北京市,14,0,0,14
88,2020-01-22,天津市,4,0,0,4
89,2020-01-22,河北省,1,0,0,1
90,2020-01-22,山西省,1,0,0,1
91,2020-01-22,辽宁省,2,0,0,2
92,2020-01-22,吉林省,1,0,0,1
93,2020-01-22,黑龙江省,1,0,0,1
94,2020-01-22,上海市,16,0,0,16
95,2020-01-22,江苏省,1,0,0,1
96,2020-01-22,浙江省,10,0,0,10
97,2020-01-22,安徽省,1,0,0,1
98,2020-01-22,福建省,1,0,0,1
99,2020-01-22,江西省,3,0,0,3
100,2020-01-22,山东省,6,0,0,6
101,2020-01-22,河南省,5,0,0,5
102,2020-01-22,湖北省,444,28,17,399
103,2020-01-22,湖南省,4,0,0,4
104,2020-01-22,广东省,32,0,0,32
105,2020-01-22,广西壮族自治区,2,0,0,2
106,2020-01-22,海南省,5,0,0,5
107,2020-01-22,重庆市,9,0,0,9
108,2020-01-22,四川省,5,0,0,5
109,2020-01-22,贵州省,3,0,0,3
110,2020-01-22,陕西省,4,0,0,4
111,2020-01-22,宁夏回族自治区,1,0,0,1
112,2020-01-22,台湾省,1,0,0,1
113,2020-01-22,香港特别行政区,1,0,0,1
114,2020-01-22,澳门特别行政区,1,0,0,1
115,2020-01-23,北京市,22,0,0,22
116,2020-01-23,天津市,5,0,0,5
117,2020-01-23,河北省,2,0,1,1
118,2020-01-23,山西省,1,0,0,1
119,2020-01-23,内蒙古自治区,1,0,0,1
120,2020-01-23,辽宁省,4,0,0,4
121,2020-01-23,吉林省,3,0,0,3
122,2020-01-23,黑龙江省,4,0,1,3
123,2020-01-23,上海市,20,0,0,20
124,2020-01-23,江苏省,9,0,0,9
125,2020-01-23,浙江省,43,1,0,42
126,2020-01-23,安徽省,15,0,0,15
127,2020-01-23,福建省,4,0,0,4
128,2020-01-23,江西省,7,0,0,7
129,2020-01-23,山东省,9,0,0,9
130,2020-01-23,河南省,9,0,0,9
131,2020-01-23,湖北省,549,31,24,494
132,2020-01-23,湖南省,24,0,0,24
133,2020-01-23,广东省,53,2,0,51
134,2020-01-23,广西壮族自治区,13,0,0,13
135,2020-01-23,海南省,8,0,0,8
136,2020-01-23,重庆市,27,0,0,27
137,2020-01-23,四川省,15,0,0,15
138,2020-01-23,贵州省,3,0,0,3
